arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"1,0,0,0,0,0,0,0,0,0,0",4.70418747663498,9.00854458201468,1386.0,44268071,1680812800,,0,2026-05-21T17:16:24.753258
"0,1,0,0,0,0,0,0,0,0,0",4.684322941303253,8.876358823521189,1386.0,44929305,1730128640,,0,2026-05-21T17:16:24.864895
"0,0,0,0,0,0,1,0,0,0,0",4.6783612132072445,9.074132051896504,1386.0,43947133,1661315840,,0,2026-05-21T17:16:25.047587
"0,0,0,0,0,0,0,0,0,0,0",4.683211803436279,9.141450717605023,1386.0,43622513,1651223296,,0,2026-05-21T17:16:25.104676
"0,0,0,1,0,0,0,0,0,0,0",4.587276268005371,8.453009813542876,1386.0,47186205,1832889088,,0,2026-05-21T17:16:58.878432
"0,0,0,0,0,1,0,0,0,0,0",4.58314563035965,8.453009813542876,1386.0,47186205,1832889088,,0,2026-05-21T17:16:59.982132
"0,0,0,0,1,0,0,0,0,0,0",4.451394152641297,7.4991583600833,1386.0,53205101,1832889088,,0,2026-05-21T17:17:00.242119
"0,0,1,0,0,0,0,0,0,0,0",4.648231709003449,8.499365065556985,1386.0,46928121,1828760320,,0,2026-05-21T17:17:00.634461
"0,0,0,0,0,0,0,1,0,0,0",4.681065464019776,8.215085900326898,1386.0,48556691,1974184704,,0,2026-05-21T17:17:33.682302
"0,0,0,0,0,0,0,0,1,0,0",4.683131158351898,9.01132617817514,1386.0,44254365,1671408384,,0,2026-05-21T17:17:33.737739
"2,2,2,2,2,2,1,1,1,1,1",4.043897128105163,4.038781266250415,1386.0,98905560,3975604992,,0,2026-05-21T17:17:37.369095
"2,2,2,2,2,2,0,1,1,1,1",4.0465458035469055,4.052062602179089,1386.0,98580940,3965512448,,0,2026-05-21T17:17:38.392533
"2,1,2,2,2,2,1,1,1,1,1",4.042656981945038,4.043477982221191,1386.0,98790520,3965741824,,0,2026-05-21T17:18:11.074779
"1,2,2,2,2,2,1,1,1,1,1",4.067181038856506,4.081548231650352,1386.0,97867809,3931220736,,0,2026-05-21T17:18:11.417121
